run_id,run_name,state,pretrained_model,tm_weight,model_type,max_context_utterances,batch_size,num_epochs,learning_rate,val_f1,val_accuracy,val_loss,train_loss,top_k_acc_3,val_cumulative70_pred_accuracy_plus_true,mean_js_divergence,epoch,class_macro_avg_f1,class_weighted_avg_f1
l9ojm56u,380_full_categories_gbert_large_phase_full_transition_loss_ctx_12_model_type_history_tm_weight_1.0_v27_fold0,finished,gbert_large,1.0,history,,,,,0.17450287626258626,0.187756966651439,3.845813982827323,2.2365200901031494,0.3417085427135678,0.932846048423938,0.11547181698538787,10.0,0.11138547246017144,0.17450287626258626
34bkumy3,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.2_model_type_bert_v2_fold4,finished,Eurobert_210m,0.0,bert,,,,,0.09263530204976886,0.1081335213916314,4.406896394841811,0.5018266503717385,0.2251998119417019,0.6666666666666666,0.2962373153466912,8.0,0.07328261805808363,0.11105167939476582
n218i2i4,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.2_model_type_bert_v2_fold3,finished,Eurobert_210m,0.0,bert,,,,,0.13060650739744478,0.15005302226935313,4.465777571996053,0.4149297592314807,0.3048780487804878,0.7534464475079533,0.3274366435279967,8.0,0.08460364348271465,0.14293881441511083
2bpa908j,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.2_model_type_history_v5_fold2,finished,Eurobert_210m,0.0,history,,,,,0.11419203369018507,0.13407525172231055,3.801532936096192,0.6032629522410307,0.2681505034446211,0.7551669316375199,0.25550485675890094,8.0,0.06954417101277378,0.1203141946914243
ijnq8n69,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.2_v10_fold1,finished,gbert_large,0.2,history,,,,,0.04351695080449275,0.10373880989994734,3.604185779889425,3.5323922634124756,0.253291205897841,0.7672459189046866,0.18983173087110575,9.0,0.01839557779286517,0.04562925404561331
no44zptw,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_1_model_type_bert_tm_weight_1.5_v36_fold0,finished,Eurobert_610m,1.5,bert,,,,,0.13349303663681764,0.14344449520328917,4.362749235970633,2.073363344669342,0.2900867976244861,0.9095477386934674,0.08657440987093634,9.0,0.0873234874480972,0.14706294939108078
ecus4t0k,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold3,finished,gbert_large,0.0,history,,,,,0.15427965801786586,0.16542948038176034,3.863658769925435,1.5636260292746804,0.3138918345705196,0.8022269353128314,0.2692022610416309,8.0,0.08811773703770737,0.16302620385376138
5sxmsx5b,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_history_v3_fold3,finished,Eurobert_210m,0.0,history,,,,,0.15845445847771217,0.17762460233297986,3.737091787656148,0.29235191561959006,0.33457051961823964,0.8255567338282078,0.2631383109233677,9.0,0.09924350130877527,0.16558159390729468
mpl3eprs,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_history_v3_fold4,finished,Eurobert_210m,0.0,history,,,,,0.11657346489138234,0.14198401504466385,3.95522299934836,0.45896710835251153,0.2755054066760696,0.7578749412317819,0.27592841364081455,9.0,0.07823670941550324,0.13210356329594877
osivpojz,380_full_categories_gbert_base_phase_label_smoothing_ls_0.1_model_type_history_v4_fold0,finished,gbert_base,0.0,history,,,,,0.1530938298126436,0.16811329374143444,3.360780021122524,2.4016968250274657,0.33896756509821835,0.808588396528095,0.2211045360463511,10.0,0.09397549068935228,0.1530938298126436
fl5w15al,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold3,finished,gbert_large,0.0,history,,,,,0.014906065995188796,0.09013785790031811,3.660802714029948,3.6734049753709273,0.19406150583244963,0.7688229056203606,0.18514429518235648,4.0,0.002756160830090791,0.014906065995188796
